iter	RMSE
0	23625.85518
1	23158.34949
2	22639.43237
3	22136.77867
4	21633.35316
5	21449.26108
6	20993.54905
7	20539.46229
8	20147.75994
9	19762.44357
10	19374.29795
11	19034.61385
12	18724.32417
13	18347.87458
14	18091.41255
15	17751.92339
16	17448.08828
17	17157.48778
18	16947.2846
19	16838.14952
20	16724.42498
21	16480.61938
22	16224.32019
23	16099.25673
24	15959.05022
25	15791.47795
26	15629.74069
27	15443.18278
28	15275.75151
29	15037.70096
30	14884.82341
31	14732.06104
32	14632.72517
33	14538.52847
34	14420.72149
35	14303.36171
36	14111.97019
37	13970.83455
38	13890.80344
39	13797.38071
40	13704.89391
41	13560.18703
42	13457.49403
43	13322.75137
44	13225.8776
45	13139.12647
46	13062.50478
47	12990.56692
48	12865.0328
49	12707.05542
50	12552.40606
51	12467.53224
52	12387.67776
53	12279.6174
54	12215.29242
55	12084.53284
56	11983.29823
57	11896.66419
58	11820.58809
59	11761.36914
60	11652.77553
61	11598.89085
62	11511.33021
63	11415.03003
64	11326.80846
65	11240.17579
66	11196.99638
67	11137.05247
68	11039.26097
69	10990.11158
70	10911.85018
71	10794.00127
72	10721.85828
73	10569.58083
74	10504.59175
75	10457.92777
76	10423.41694
77	10351.63757
78	10307.77864
79	10182.01741
80	10128.10557
81	10064.85229
82	9993.061284
83	9940.228139
84	9863.59472
85	9789.275304
86	9750.172145
87	9695.038181
88	9643.104842
89	9570.840133
90	9526.043127
91	9458.778314
92	9403.400127
93	9325.318724
94	9250.798195
95	9209.175789
96	9124.975468
97	9062.609059
98	8990.444594
99	8948.583721
100	8875.372629
101	8834.08612
102	8806.568998
103	8779.175486
104	8738.501714
105	8718.877568
106	8674.163052
107	8636.151127
108	8590.34446
109	8532.982509
110	8504.920244
111	8450.047932
112	8375.357575
113	8258.439365
114	8188.668791
115	8135.524385
116	8109.355229
117	8082.583026
118	8046.374397
119	8025.369727
120	7986.903959
121	7933.018665
122	7881.410284
123	7831.929195
124	7804.102947
125	7773.113869
126	7758.19993
127	7721.17305
128	7690.301113
129	7650.375055
130	7569.976609
131	7543.186313
132	7525.530891
133	7499.747389
134	7432.460792
135	7400.915427
136	7375.50301
137	7351.611283
138	7331.733375
139	7253.430425
140	7212.306952
141	7186.400496
142	7158.613832
143	7145.035011
144	7077.236768
145	7056.199705
146	7019.504854
147	6983.248372
148	6960.489154
149	6942.926185
150	6909.747143
151	6867.613468
152	6842.383916
153	6779.781245
154	6760.30823
155	6747.619343
156	6715.530202
157	6675.358588
158	6620.488139
159	6610.644099
160	6559.938323
161	6501.827131
162	6484.07933
163	6462.670827
164	6440.569791
165	6394.4438
166	6375.781643
167	6346.457534
168	6323.689682
169	6261.866567
170	6239.192303
171	6226.94386
172	6207.83463
173	6174.373599
174	6148.12801
175	6104.210141
176	6076.059962
177	6062.99137
178	6045.918919
179	6015.262587
180	5998.222833
181	5971.376908
182	5923.707897
183	5904.028606
184	5879.172241
185	5856.636335
186	5841.324373
187	5813.914378
188	5791.044615
189	5759.398177
190	5746.564988
191	5722.76445
192	5704.66582
193	5691.288545
194	5679.087303
195	5651.951901
196	5639.97467
197	5589.768442
198	5549.339837
199	5521.436061
200	5510.57718
201	5499.62586
202	5461.166346
203	5403.652972
204	5382.436317
205	5364.783341
206	5357.302625
207	5339.966943
208	5329.652982
209	5309.616561
210	5300.72565
211	5287.795
212	5252.02802
213	5230.991069
214	5208.822801
215	5189.853842
216	5174.215781
217	5132.926345
218	5124.265043
219	5108.803078
220	5056.224833
221	5041.297977
222	5031.406518
223	5012.709794
224	4970.384248
225	4938.446329
226	4923.266015
227	4904.409542
228	4896.701975
229	4884.703023
230	4862.320707
231	4856.720904
232	4836.220441
233	4819.320056
234	4774.101298
235	4751.770876
236	4735.164464
237	4711.185397
238	4694.278217
239	4679.323448
240	4665.458284
241	4631.335195
242	4622.757394
243	4605.901399
244	4592.903903
245	4575.470871
246	4523.50936
247	4510.875399
248	4494.668735
249	4482.435132
250	4455.467168
251	4444.2436
252	4421.798676
253	4411.965298
254	4386.125995
255	4374.226261
256	4356.951624
257	4341.936697
258	4332.630672
259	4326.876295
260	4311.280693
261	4304.087396
262	4289.087064
263	4275.235725
264	4261.110141
265	4223.217817
266	4212.484295
267	4178.179352
268	4158.855924
269	4142.913876
270	4125.212912
271	4103.13267
272	4091.088643
273	4081.887449
274	4068.995299
275	4055.576804
276	4041.329601
277	4036.56626
278	4020.337273
279	3992.775649
280	3970.38053
281	3943.793349
282	3932.125247
283	3900.117543
284	3889.187721
285	3873.601769
286	3851.605911
287	3842.852847
288	3837.820178
289	3822.181229
290	3810.976892
291	3798.121168
292	3786.667896
293	3770.294172
294	3749.179603
295	3745.253039
296	3734.901589
297	3715.217207
298	3712.448706
299	3701.709816
300	3698.674589
301	3680.72658
302	3673.151798
303	3648.58693
304	3634.874203
305	3628.04841
306	3618.054094
307	3601.789367
308	3588.313301
309	3566.440766
310	3553.397848
311	3539.488542
312	3536.309436
313	3527.256834
314	3512.813441
315	3503.398042
316	3492.421326
317	3480.56818
318	3475.337742
319	3455.026798
320	3451.859957
321	3442.098918
322	3432.500094
323	3429.482664
324	3409.997667
325	3377.64715
326	3347.206927
327	3338.121246
