iter	Passed	Remaining
0	0	389
1	0	420
2	1	416
3	1	427
4	2	423
5	2	409
6	2	410
7	3	402
8	3	390
9	4	396
10	4	392
11	4	386
12	5	385
13	5	380
14	5	383
15	6	381
16	6	377
17	6	377
18	7	377
19	7	375
20	8	376
21	8	380
22	8	379
23	9	381
24	9	383
25	10	381
26	10	379
27	10	377
28	11	374
29	11	372
30	11	370
31	12	367
32	12	365
33	12	363
34	13	364
35	13	364
36	13	362
37	14	361
38	14	359
39	14	357
40	15	355
41	15	354
42	15	353
43	16	351
44	16	350
45	16	348
46	17	348
47	17	349
48	17	349
49	18	348
50	18	347
51	19	346
52	19	345
53	19	344
54	19	343
55	20	343
56	20	343
57	21	341
58	21	344
59	21	343
60	22	342
61	22	343
62	23	343
63	23	342
64	23	341
65	24	342
66	24	341
67	24	341
68	25	341
69	25	340
70	26	340
71	26	343
72	26	342
73	27	341
74	27	339
75	27	339
76	28	337
77	28	337
78	28	335
79	29	335
80	29	333
81	29	332
82	30	331
83	30	330
84	30	329
85	30	329
86	31	328
87	31	327
88	31	326
89	32	325
90	32	324
91	32	324
92	33	324
93	33	324
94	33	323
95	34	322
96	34	322
97	34	321
98	35	321
99	35	320
100	35	320
101	36	320
102	36	319
103	37	318
104	37	318
105	37	318
106	38	317
107	38	317
108	38	316
109	39	316
110	39	315
111	39	314
112	39	313
113	40	314
114	40	313
115	41	313
116	41	313
117	41	312
118	42	311
119	42	311
120	42	310
121	43	310
122	43	309
123	43	308
124	44	308
125	44	307
126	44	307
127	45	306
128	45	305
129	45	305
130	45	304
131	46	304
132	46	303
133	46	303
134	47	302
135	47	301
136	47	301
137	48	301
138	48	300
139	48	299
140	49	300
141	49	300
142	50	299
143	50	299
144	50	298
145	50	298
146	51	297
147	51	296
148	51	296
149	52	295
150	52	295
151	52	294
152	53	294
153	53	293
154	53	293
155	54	292
156	54	292
157	54	291
158	54	290
159	55	290
160	55	290
161	55	289
162	56	288
163	56	288
164	56	287
165	57	287
166	57	286
167	57	286
168	58	285
169	58	285
170	58	284
171	59	284
172	59	283
173	59	283
174	59	282
175	60	282
176	60	281
177	60	281
178	61	281
179	61	280
180	62	280
181	62	279
182	62	279
183	62	278
184	63	278
185	63	277
186	63	277
187	64	276
188	64	276
189	64	275
190	65	275
191	65	275
192	65	274
193	65	273
194	66	273
195	66	272
196	66	272
197	67	272
198	67	271
199	67	271
200	68	270
201	68	270
202	68	269
203	69	269
204	69	269
205	69	269
206	70	269
207	70	269
208	71	268
209	71	269
210	71	268
211	72	268
212	72	268
213	72	267
214	73	267
215	73	266
216	73	266
217	74	266
218	74	265
219	74	265
220	75	264
221	75	264
222	75	264
223	76	263
224	76	263
225	76	262
226	77	262
227	77	262
228	77	261
229	78	261
230	78	260
231	78	260
232	78	259
233	79	259
234	79	259
235	79	258
236	80	258
237	80	257
238	80	257
239	81	256
240	81	256
241	81	256
242	82	255
243	82	255
244	82	254
245	83	254
246	83	254
247	83	253
248	84	253
249	84	252
250	84	252
251	84	252
252	85	251
253	85	251
254	86	251
255	86	251
256	86	250
257	87	250
